sample_id,filepath,dataset,speaker_id,emotion,original_emotion,gender,source_filename,readable,sample_rate,duration,channels,peak,rms_raw,split
s000000,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-01-01-01-01-01.wav,RAVDESS,ravdess_01,neutral,01,male,03-01-01-01-01-01-01.wav,True,48000,3.3032916666666665,1,0.04058837890625,0.004000635351985693,train
s000001,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-01-01-01-02-01.wav,RAVDESS,ravdess_01,neutral,01,male,03-01-01-01-01-02-01.wav,True,48000,3.3366666666666664,1,0.04815673828125,0.004283341113477945,train
s000002,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-01-01-02-01-01.wav,RAVDESS,ravdess_01,neutral,01,male,03-01-01-01-02-01-01.wav,True,48000,3.2699166666666666,1,0.0584716796875,0.00508360518142581,train
s000003,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-01-01-02-02-01.wav,RAVDESS,ravdess_01,neutral,01,male,03-01-01-01-02-02-01.wav,True,48000,3.1698333333333335,1,0.06268310546875,0.004886147566139698,train
s000004,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-03-01-01-01-01.wav,RAVDESS,ravdess_01,happy,03,male,03-01-03-01-01-01-01.wav,True,48000,3.4701458333333335,1,0.058502197265625,0.007172900252044201,train
s000005,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-03-01-01-02-01.wav,RAVDESS,ravdess_01,happy,03,male,03-01-03-01-01-02-01.wav,True,48000,3.470125,1,0.074981689453125,0.008320282213389874,train
s000006,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-03-01-02-01-01.wav,RAVDESS,ravdess_01,happy,03,male,03-01-03-01-02-01-01.wav,True,48000,3.5368541666666666,1,0.050018310546875,0.006409137509763241,train
s000007,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-03-01-02-02-01.wav,RAVDESS,ravdess_01,happy,03,male,03-01-03-01-02-02-01.wav,True,48000,3.703708333333333,1,0.044677734375,0.005991647485643625,train
s000008,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-03-02-01-01-01.wav,RAVDESS,ravdess_01,happy,03,male,03-01-03-02-01-01-01.wav,True,48000,3.6703333333333332,1,0.126953125,0.01103049237281084,train
s000009,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-03-02-01-02-01.wav,RAVDESS,ravdess_01,happy,03,male,03-01-03-02-01-02-01.wav,True,48000,3.6369583333333333,1,0.16583251953125,0.014462556689977646,train
s000010,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-03-02-02-01-01.wav,RAVDESS,ravdess_01,happy,03,male,03-01-03-02-02-01-01.wav,True,48000,3.93725,1,0.127471923828125,0.017518894746899605,train
s000011,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-03-02-02-02-01.wav,RAVDESS,ravdess_01,happy,03,male,03-01-03-02-02-02-01.wav,True,48000,3.9372708333333333,1,0.1395263671875,0.01633586920797825,train
s000012,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-04-01-01-01-01.wav,RAVDESS,ravdess_01,sad,04,male,03-01-04-01-01-01-01.wav,True,48000,3.8371666666666666,1,0.045623779296875,0.0037387192714959383,train
s000013,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-04-01-01-02-01.wav,RAVDESS,ravdess_01,sad,04,male,03-01-04-01-01-02-01.wav,True,48000,3.5702291666666666,1,0.041717529296875,0.0034804940223693848,train
s000014,/kaggle/input/datasets/quanghuy225/tripe-dataset/RAVDESS/Actor_01/03-01-04-01-02-01-01.wav,RAVDESS,ravdess_01,sad,04,male,03-01-04-01-02-01-01.wav,True,48000,3.5035,1,0.03192138671875,0.0030210581608116627,train
